mapmaker_id,first_ed_map,country,city,date
79,8,Germany,Cologne,1555
79,9,Germany,Cologne,1555
56,39,Germany,Cologne,1578
56,40,Germany,Cologne,1578
56,41,Germany,Cologne,1578
56,42,Germany,Cologne,1578
56,43,Germany,Cologne,1578
56,44,Germany,Cologne,1578
56,45,Germany,Cologne,1578
56,46,Germany,Cologne,1578
56,47,Germany,Cologne,1578
56,48,Germany,Cologne,1578
56,49,Germany,Cologne,1578
56,50,Germany,Cologne,1578
56,51,Germany,Cologne,1578
56,52,Germany,Cologne,1578
56,53,Germany,Cologne,1578
56,54,Germany,Cologne,1578
56,55,Germany,Cologne,1578
56,56,Germany,Cologne,1578
56,57,Germany,Cologne,1578
56,58,Germany,Cologne,1578
56,59,Germany,Cologne,1578
56,60,Germany,Cologne,1578
56,61,Germany,Cologne,1578
56,62,Germany,Cologne,1578
56,63,Germany,Cologne,1578
56,64,Germany,Cologne,1578
56,65,Germany,Cologne,1578
56,66,Germany,Cologne,1578
45,5,Germany,Cologne,1585
55,5,Germany,Cologne,1598
55,6,Germany,Cologne,1598
56,13,Germany,Duisburg,1554
56,16,Germany,Duisburg,1564
56,18,Germany,Duisburg,1569
56,17,Germany,Duisburg,1569
56,67,Germany,Duisburg,1585
56,68,Germany,Duisburg,1585
56,69,Germany,Duisburg,1585
56,70,Germany,Duisburg,1585
56,71,Germany,Duisburg,1585
56,72,Germany,Duisburg,1585
56,73,Germany,Duisburg,1585
56,74,Germany,Duisburg,1585
56,75,Germany,Duisburg,1585
56,76,Germany,Duisburg,1585
56,77,Germany,Duisburg,1585
56,78,Germany,Duisburg,1585
56,79,Germany,Duisburg,1585
56,80,Germany,Duisburg,1585
56,81,Germany,Duisburg,1585
56,82,Germany,Duisburg,1585
56,83,Germany,Duisburg,1585
56,84,Germany,Duisburg,1585
56,85,Germany,Duisburg,1585
56,86,Germany,Duisburg,1585
56,87,Germany,Duisburg,1585
56,88,Germany,Duisburg,1585
56,89,Germany,Duisburg,1585
56,90,Germany,Duisburg,1585
56,91,Germany,Duisburg,1585
56,92,Germany,Duisburg,1585
56,93,Germany,Duisburg,1585
56,94,Germany,Duisburg,1585
56,95,Germany,Duisburg,1585
56,96,Germany,Duisburg,1585
56,97,Germany,Duisburg,1585
56,98,Germany,Duisburg,1585
56,99,Germany,Duisburg,1585
56,100,Germany,Duisburg,1585
56,101,Germany,Duisburg,1585
56,102,Germany,Duisburg,1585
56,103,Germany,Duisburg,1585
56,104,Germany,Duisburg,1585
56,105,Germany,Duisburg,1585
56,106,Germany,Duisburg,1585
56,107,Germany,Duisburg,1585
56,108,Germany,Duisburg,1585
56,109,Germany,Duisburg,1585
56,110,Germany,Duisburg,1585
56,111,Germany,Duisburg,1585
56,112,Germany,Duisburg,1585
56,113,Germany,Duisburg,1585
56,114,Germany,Duisburg,1585
56,115,Germany,Duisburg,1585
56,116,Germany,Duisburg,1585
56,117,Germany,Duisburg,1585
56,118,Germany,Duisburg,1585
56,119,Germany,Duisburg,1589
56,120,Germany,Duisburg,1589
56,121,Germany,Duisburg,1589
56,122,Germany,Duisburg,1589
56,123,Germany,Duisburg,1589
56,124,Germany,Duisburg,1589
56,125,Germany,Duisburg,1589
56,126,Germany,Duisburg,1589
56,127,Germany,Duisburg,1589
56,128,Germany,Duisburg,1589
56,129,Germany,Duisburg,1589
56,130,Germany,Duisburg,1589
56,131,Germany,Duisburg,1589
56,132,Germany,Duisburg,1589
56,133,Germany,Duisburg,1589
56,134,Germany,Duisburg,1589
56,135,Germany,Duisburg,1589
56,136,Germany,Duisburg,1589
56,137,Germany,Duisburg,1589
56,138,Germany,Duisburg,1589
56,139,Germany,Duisburg,1589
56,140,Germany,Duisburg,1589
56,141,Germany,Duisburg,1589
56,142,Germany,Duisburg,1595
56,143,Germany,Duisburg,1595
56,144,Germany,Duisburg,1595
56,145,Germany,Duisburg,1595
56,146,Germany,Duisburg,1595
56,147,Germany,Duisburg,1595
56,148,Germany,Duisburg,1595
56,149,Germany,Duisburg,1595
56,150,Germany,Duisburg,1595
56,151,Germany,Duisburg,1595
56,152,Germany,Duisburg,1595
56,153,Germany,Duisburg,1595
56,154,Germany,Duisburg,1595
56,155,Germany,Duisburg,1595
56,156,Germany,Duisburg,1595
56,157,Germany,Duisburg,1595
56,158,Germany,Duisburg,1595
56,159,Germany,Duisburg,1595
56,160,Germany,Duisburg,1595
56,161,Germany,Duisburg,1595
56,162,Germany,Duisburg,1595
56,163,Germany,Duisburg,1595
56,164,Germany,Duisburg,1595
56,165,Germany,Duisburg,1595
56,166,Germany,Duisburg,1595
56,167,Germany,Duisburg,1595
56,168,Germany,Duisburg,1595
56,169,Germany,Duisburg,1595
56,170,Germany,Duisburg,1595
23,1,Germany,Eichstatt,Ca. 1514
58,48,Germany,Frankfurt am Main,1536
58,49,Germany,Frankfurt am Main,1536
66,1,Germany,Görlitz,1569
66,2,Germany,Görlitz,1593
45,3,Germany,Hamburg,1559
7,6,Germany,Imgolstadt,1528
7,9,Germany,Imgolstadt,1530
7,10,Germany,Imgolstadt,1533
7,11,Germany,Imgolstadt,1533
64,1,Germany,Imgolstadt,1533
7,13,Germany,Imgolstadt,1536
55,2,Germany,Jena,1571
55,3,Germany,Jena,1571
47,2,Germany,Kalkar,1570
47,3,Germany,Kalkar,1570
70,11,Germany,Kalkar,1570
70,12,Germany,Kalkar,1570
70,13,Germany,Kalkar,1572
7,2,Germany,Landshut,1521 or 22
7,4,Germany,Landshut,1524
7,5,Germany,Landshut,1524
9,5,Germany,Landshut,1535
54,1,Germany,Münster,1568
7,5,Germany,Nuremberg,1533
83,1,Germany,Nuremberg,1533
63,1,Germany,Nuremberg,1540
63,1,Germany,Nuremberg,1540
88,1,Germany,Nuremberg,1565
88,2,Germany,Nuremberg,1566
88,3,Germany,Nuremberg,1566
88,5,Germany,Nuremberg,1567
88,6,Germany,Nuremberg,1567
88,7,Germany,Nuremberg,1567
88,8,Germany,Nuremberg,1568
88,9,Germany,Nuremberg,1568
88,10,Germany,Nuremberg,1568
88,11,Germany,Nuremberg,1570
88,12,Germany,Nuremberg,1570
88,13,Germany,Nuremberg,1571
58,45,Germany,Oppenheim,1525
58,46,Germany,Oppenheim,1528
7,3,Germany,Regensburg,1522
72,2,Germany,Rostock,1552
72,4,Germany,Rostock,1555
55,1,Germany,Weimar,1568
45,1,Germany,Wittenberg,1550
72,1,Germany,Wittenberg,1552
72,5,Germany,Wittenberg,1557
72,6,Germany,Wittenberg,1560
72,6,Germany,Wittenberg,1567
33,2,Italy,Rome,1524
10,1,Italy,Rome,1536
33,3,Italy,Rome,1546
51,1,Italy,Rome,1552
51,2,Italy,Rome,1553
51,4,Italy,Rome,1554
51,4,Italy,Rome,1558
51,5,Italy,Rome,1558
51,6,Italy,Rome,1558
51,7,Italy,Rome,1558
51,8,Italy,Rome,1559
51,9,Italy,Rome,1559
30,91,Italy,Rome,1561
30,92,Italy,Rome,1561
51,10,Italy,Rome,1561
51,11,Italy,Rome,1561
67,1,Italy,Rome,1561
51,12,Italy,Rome,1563
51,0,Italy,Rome,1563
51,12,Italy,Rome,1564
51,4,Italy,Rome,1691
51,13,Italy,Rome,1751
51,4,Italy,Rome,1775
87,15,Italy,Venice,15208
13,3,Italy,Venice,1528
13,4,Italy,Venice,1528
13,5,Italy,Venice,1528
13,6,Italy,Venice,1528
13,7,Italy,Venice,1528
13,8,Italy,Venice,1528
13,9,Italy,Venice,1528
13,10,Italy,Venice,1528
13,11,Italy,Venice,1528
13,12,Italy,Venice,1528
13,13,Italy,Venice,1528
13,14,Italy,Venice,1528
13,15,Italy,Venice,1528
13,16,Italy,Venice,1528
13,17,Italy,Venice,1528
13,18,Italy,Venice,1528
13,19,Italy,Venice,1528
13,20,Italy,Venice,1528
13,21,Italy,Venice,1528
13,22,Italy,Venice,1528
13,23,Italy,Venice,1528
13,24,Italy,Venice,1528
13,25,Italy,Venice,1528
13,26,Italy,Venice,1528
13,27,Italy,Venice,1528
13,28,Italy,Venice,1528
13,29,Italy,Venice,1528
13,30,Italy,Venice,1528
13,31,Italy,Venice,1528
13,32,Italy,Venice,1528
13,33,Italy,Venice,1528
13,34,Italy,Venice,1528
13,35,Italy,Venice,1528
13,36,Italy,Venice,1528
13,37,Italy,Venice,1528
13,38,Italy,Venice,1528
13,39,Italy,Venice,1528
13,40,Italy,Venice,1528
13,41,Italy,Venice,1528
13,42,Italy,Venice,1528
13,43,Italy,Venice,1528
13,44,Italy,Venice,1528
13,45,Italy,Venice,1528
13,46,Italy,Venice,1528
13,47,Italy,Venice,1528
13,48,Italy,Venice,1528
13,49,Italy,Venice,1528
13,50,Italy,Venice,1528
13,51,Italy,Venice,1528
13,52,Italy,Venice,1528
13,53,Italy,Venice,1528
13,54,Italy,Venice,1528
13,55,Italy,Venice,1528
13,56,Italy,Venice,1528
13,57,Italy,Venice,1528
13,58,Italy,Venice,1528
13,59,Italy,Venice,1528
13,60,Italy,Venice,1528
13,61,Italy,Venice,1528
13,62,Italy,Venice,1528
13,63,Italy,Venice,1528
13,64,Italy,Venice,1528
13,65,Italy,Venice,1528
13,66,Italy,Venice,1528
13,67,Italy,Venice,1528
13,68,Italy,Venice,1528
13,69,Italy,Venice,1528
13,70,Italy,Venice,1528
13,71,Italy,Venice,1528
13,72,Italy,Venice,1528
13,73,Italy,Venice,1528
13,74,Italy,Venice,1528
13,75,Italy,Venice,1528
13,76,Italy,Venice,1528
13,77,Italy,Venice,1528
13,78,Italy,Venice,1528
13,79,Italy,Venice,1528
13,80,Italy,Venice,1528
13,81,Italy,Venice,1528
13,82,Italy,Venice,1528
13,83,Italy,Venice,1528
13,84,Italy,Venice,1528
13,85,Italy,Venice,1528
13,86,Italy,Venice,1528
13,87,Italy,Venice,1528
13,88,Italy,Venice,1528
13,89,Italy,Venice,1528
13,90,Italy,Venice,1528
13,91,Italy,Venice,1528
13,92,Italy,Venice,1528
13,93,Italy,Venice,1528
13,94,Italy,Venice,1528
13,95,Italy,Venice,1528
13,96,Italy,Venice,1528
13,97,Italy,Venice,1528
13,98,Italy,Venice,1528
13,99,Italy,Venice,1528
13,100,Italy,Venice,1528
13,101,Italy,Venice,1528
13,102,Italy,Venice,1528
13,103,Italy,Venice,1528
13,104,Italy,Venice,1528
13,105,Italy,Venice,1528
13,106,Italy,Venice,1528
13,107,Italy,Venice,1528
13,108,Italy,Venice,1528
13,109,Italy,Venice,1528
13,110,Italy,Venice,1528
13,111,Italy,Venice,1528
13,112,Italy,Venice,1528
13,113,Italy,Venice,1528
33,0,Italy,Venice,1530
87,8,Italy,Venice,1538
87,7,Italy,Venice,1538
53,1,Italy,Venice,1539
21,0,Italy,Venice,1540
30,1,Italy,Venice,1544
30,2,Italy,Venice,1545
87,10,Italy,Venice,1545
87,11,Italy,Venice,1545
30,3,Italy,Venice,1546
30,4,Italy,Venice,1546
33,5,Italy,Venice,1546
87,13,Italy,Venice,1546
10,11,Italy,Venice,1550
30,65,Italy,Venice,1550
30,67,Italy,Venice,1550
30,68,Italy,Venice,1550
30,72,Italy,Venice,1550
60,1,Italy,Venice,1551
30,70,Italy,Venice,1552
51,4,Italy,Venice,1554
30,76,Italy,Venice,1555
30,78,Italy,Venice,1556
30,79,Italy,Venice,1556
30,80,Italy,Venice,1556
30,81,Italy,Venice,1556
30,82,Italy,Venice,1556
30,83,Italy,Venice,1556
79,54,Italy,Venice,1557
85,1,Italy,Venice,1557
30,85,Italy,Venice,1559
30 ,86,Italy,Venice,1559
30,12,Italy,Venice,1559
33,11,Italy,Venice,1559
87,14,Italy,Venice,1559
30,87,Italy,Venice,1560
30,88,Italy,Venice,1560
30,89,Italy,Venice,1560
30,90,Italy,Venice,1561
30,91,Italy,Venice,1561
30,92,Italy,Venice,1561
30,93,Italy,Venice,1561
30,96,Italy,Venice,1562
30,97,Italy,Venice,1562
30,103,Italy,Venice,1564
30,105,Italy,Venice,1567
30,106,Italy,Venice,1567
30,107,Italy,Venice,1568
30,108,Italy,Venice,1568
30,103,Italy,Venice,1570
30,107,Italy,Venice,1571
6,5,Netherlands,Amsterdam,1542
6,11,Netherlands,Amsterdam,1544
6,16,Netherlands,Amsterdam,after 1553
41,1,Poland,Kraków,1530
41,2,Poland,Kraków,1530
38,1,Poland,Wrocław,1561
38,2,Poland,Wrocław,1561
38,12,Poland,Wrocław,1627
41,5,Romania,Braşov,1542
41,6,Romania,Braşov,1542
41,7,Romania,Braşov,1542
41,8,Romania,Braşov,1542
41,9,Romania,Braşov,1542
41,10,Romania,Braşov,1542
41,11,Romania,Braşov,1542
41,12,Romania,Braşov,1542
41,13,Romania,Braşov,1542
41,14,Romania,Braşov,1542
41,15,Romania,Braşov,1542
41,16,Romania,Braşov,1542
41,17,Romania,Braşov,1542
41,18,Romania,Braşov,1542
41,19,Romania,Braşov,1542
41,20,Romania,Braşov,1542
41,4,Switzerland,Basel,1532
58,47,Switzerland,Basel,1532
58,50,Switzerland,Basel,1537
58,52,Switzerland,Basel,1538
58,53,Switzerland,Basel,1538
58,54,Switzerland,Basel,1538
58,55,Switzerland,Basel,1538
58,56,Switzerland,Basel,1538
58,57,Switzerland,Basel,1538
58,58,Switzerland,Basel,1538
58,59,Switzerland,Basel,1538
58,60,Switzerland,Basel,1538
58,61,Switzerland,Basel,1538
58,62,Switzerland,Basel,1538
58,63,Switzerland,Basel,1538
58,64,Switzerland,Basel,1538
58,65,Switzerland,Basel,1538
58,66,Switzerland,Basel,1538
58,67,Switzerland,Basel,1538
58,68,Switzerland,Basel,1538
58,69,Switzerland,Basel,1538
58,70,Switzerland,Basel,1538
58,71,Switzerland,Basel,1538
58,72,Switzerland,Basel,1538
41,3,Switzerland,Basel,1541
58,121,Switzerland,Basel,1544
58,122,Switzerland,Basel,1544
58,123,Switzerland,Basel,1544
58,124,Switzerland,Basel,1544
58,125,Switzerland,Basel,1544
58,126,Switzerland,Basel,1544
58,127,Switzerland,Basel,1544
58,128,Switzerland,Basel,1544
58,129,Switzerland,Basel,1544
58,130,Switzerland,Basel,1545
58,131,Switzerland,Basel,1545
58,132,Switzerland,Basel,1545
58,133,Switzerland,Basel,1545
58,134,Switzerland,Basel,1545
58,132,Switzerland,Basel,1545
58,133,Switzerland,Basel,1545
41,8,Switzerland,Basel,1546
49,6,Switzerland,Basel,1548
16,2,Switzerland,Basel,1550
49,8,Switzerland,Basel,1556
29,8,Switzerland,Basel,1583
73,1,Switzerland,Zurich,1538
41,12,Switzerland,Zurich,1546
41,0,Switzerland,Zurich,1548
73,12,Switzerland,Zurich,1554
73,1,Switzerland,Zurich,1556
41,2,Switzerland,Zurich,1558
41,12,Switzerland,Zurich,1562
41,0,Switzerland,Zurich,1564
41,0,Switzerland,Zurich,1565
41,8,Switzerland,Zurich,1570
41,0,Switzerland,Zurich,1570
41,0,Switzerland,Zurich,1573
41,12,Switzerland,Zurich,1578
41,0,Switzerland,Zurich,1581
41,8,Switzerland,Zurich,1590
41,12,Switzerland,Zurich,1597
21,23,Yugoslavia,Izola,1524-26
21,24,Yugoslavia,Izola,1524-26
21,25,Yugoslavia,Izola,1524-26
21,26,Yugoslavia,Izola,1524-26
21,27,Yugoslavia,Izola,1524-26
21,28,Yugoslavia,Izola,1524-26
21,29,Yugoslavia,Izola,1524-26
21,30,Yugoslavia,Izola,1524-26
21,31,Yugoslavia,Izola,1524-26
21,32,Yugoslavia,Izola,1524-26
21,33,Yugoslavia,Izola,1524-26
21,34,Yugoslavia,Izola,1524-26
21,35,Yugoslavia,Izola,1524-26
21,36,Yugoslavia,Izola,1524-26
21,37,Yugoslavia,Izola,1524-26
