mapmaker_id,map_or_book_id,country,city,date
26,E,Austria,Güssing,1583
68,1,Austria,Salzburg,1551
68,1.6,Austria,Salzburg,1650
24,А,Austria,Vienna,1494
24,B,Austria,Vienna,1508
7,1,Austria,Vienna,1520
24,C,Austria,Vienna,1522
28,G.3,Austria,Vienna,1541
49,4,Austria,Vienna,1545?
49,5,Austria,Vienna,1545?
40,4,Austria,Vienna,1546
40,4.1,Austria,Vienna,1547
40,6,Austria,Vienna,1547
40,7,Austria,Vienna,1547
40,4.2,Austria,Vienna,1549
40,5.3,Austria,Vienna,1552
49,D,Austria,Vienna,1556
49,7,Austria,Vienna,1556
40,4.8,Austria,Vienna,1557
49,11,Austria,Vienna,1558
49,12,Austria,Vienna,1558
49,14,Austria,Vienna,1558
49,G,Austria,Vienna,1558
49,H,Austria,Vienna,1558
65,B,Austria,Vienna,1558
65,D,Austria,Vienna,1558
49,J,Austria,Vienna,by 1561
49,15,Austria,Vienna,by 1561
49,16,Austria,Vienna,by 1561
49,17,Austria,Vienna,by 1561
49,18,Austria,Vienna,by 1561
49,19,Austria,Vienna,by 1561
49,20,Austria,Vienna,by 1561
49,21,Austria,Vienna,by 1561
49,22,Austria,Vienna,by 1561
49,23,Austria,Vienna,by 1561
49,24,Austria,Vienna,by 1561
49,25,Austria,Vienna,by 1561
49,26,Austria,Vienna,by 1561
65,1,Austria,Vienna,1566
65,2,Austria,Vienna,1566
65,3,Austria,Vienna,1571
16,H.1,Austria,Vienna,1692
65,1.3,Austria,Vienna,1746
42,1,Belgium,Antwerp,1526
57,A,Belgium,Antwerp,1527-30
7,Е,Belgium,Antwerp,1529
29,А,Belgium,Antwerp,1529
7,1.1,Belgium,Antwerp,1530
29,B,Belgium,Antwerp,1530
7,E,Belgium,Antwerp,1533
29,A,Belgium,Antwerp,1533
29,A.1,Belgium,Antwerp,1533
7,E,Belgium,Antwerp,1534
29,A,Belgium,Antwerp,1534
83,C.2,Belgium,Antwerp,1535
83,C.2,Belgium,Antwerp,1536
7,E,Belgium,Antwerp,1537
29,A,Belgium,Antwerp,1537
7,E,Belgium,Antwerp,1539
29,А,Belgium,Antwerp,1539
29,A.2,Belgium,Antwerp,1539
7,E,Belgium,Antwerp,1540
29,A,Belgium,Antwerp,1540
29,E,Belgium,Antwerp,1540
56,A,Belgium,Antwerp,1541
6,8,Belgium,Antwerp,1543
7,E,Belgium,Antwerp,1544
17,A,Belgium,Antwerp,1544
29,A,Belgium,Antwerp,1544
29,A.3,Belgium,Antwerp,1544
29,8,Belgium,Antwerp,1544
46,1,Belgium,Antwerp,1544
29,B,Belgium,Antwerp,1544-53
7,E,Belgium,Antwerp,1545
29,A,Belgium,Antwerp,1545
29,F,Belgium,Antwerp,1545
29,E,Belgium,Antwerp,1547
7,E,Belgium,Antwerp,1548
29,A,Belgium,Antwerp,1548
29,B.1,Belgium,Antwerp,1548
36,1,Belgium,Antwerp,1549
56,А,Belgium,Antwerp,1549
7,E,Belgium,Antwerp,1550
29,A,Belgium,Antwerp,1550
29,Е,Belgium,Antwerp,1552
41,E,Belgium,Antwerp,1552
41,5.2,Belgium,Antwerp,1552
41,6.2,Belgium,Antwerp,1552
41,7.2,Belgium,Antwerp,1552
41,8.2,Belgium,Antwerp,1552
41,9.2,Belgium,Antwerp,1552
41,10.2,Belgium,Antwerp,1552
41,11.2,Belgium,Antwerp,1552
41,12.2,Belgium,Antwerp,1552
41,13.2,Belgium,Antwerp,1552
41,14.2,Belgium,Antwerp,1552
41,15.2,Belgium,Antwerp,1552
41,16.2,Belgium,Antwerp,1552
41,17.2,Belgium,Antwerp,1552
41,18.2,Belgium,Antwerp,1552
41,19.2,Belgium,Antwerp,1552
41,20.2,Belgium,Antwerp,1552
79,5.2,Belgium,Antwerp,1552
7,E,Belgium,Antwerp,1553
25,4.2,Belgium,Antwerp,1553
29,A,Belgium,Antwerp,1553
30,2.1,Belgium,Antwerp,1553
41,E,Belgium,Antwerp,1553
60,1.1,Belgium,Antwerp,1553
30,3.1,Belgium,Antwerp,1555
30,77,Belgium,Antwerp,1555
41,E,Belgium,Antwerp,1555
81,1.2,Belgium,Antwerp,1555
12,21,Belgium,Antwerp,1556
12,20,Belgium,Antwerp,1556
25,7.1,Belgium,Antwerp,1556
29,J,Belgium,Antwerp,1556
56,A,Belgium,Antwerp,1556
77,А,Belgium,Antwerp,1556
12,C,Belgium,Antwerp,1557
12,22,Belgium,Antwerp,1557
26,A,Belgium,Antwerp,1557
40,4.7,Belgium,Antwerp,1557
56,А,Belgium,Antwerp,1557
72,1.1,Belgium,Antwerp,1557
25,1.3,Belgium,Antwerp,1558
77,B,Belgium,Antwerp,1558
11,1,Belgium,Antwerp,1559
25,8.2,Belgium,Antwerp,1559
72,5.1,Belgium,Antwerp,1559
6,8.3,Belgium,Antwerp,1560
25,11.2,Belgium,Antwerp,1560
41,E,Belgium,Antwerp,1560
69,1,Belgium,Antwerp,1560
7,E,Belgium,Antwerp,1561
29,A,Belgium,Antwerp,1561
3,2.1,Belgium,Antwerp,1562
5,A,Belgium,Antwerp,1562
29,E,Belgium,Antwerp,1562
37,2,Belgium,Antwerp,1562
84,5.7,Belgium,Antwerp,1562
70,2.1,Belgium,Antwerp,1563-64
1,1,Belgium,Antwerp,1564
7,E,Belgium,Antwerp,1564
29,A,Belgium,Antwerp,1564
65,F,Belgium,Antwerp,1564
1,2,Belgium,Antwerp,1565
25,4.5,Belgium,Antwerp,1565
25,4.6,Belgium,Antwerp,1565
56,6.6,Belgium,Antwerp,1565
57,A,Belgium,Antwerp,1565
67,1.1,Belgium,Antwerp,1565
79,9.1,Belgium,Antwerp,1566
1,4,Belgium,Antwerp,1567
6,11.4,Belgium,Antwerp,1567
49,7.3,Belgium,Antwerp,1567
56,6.8,Belgium,Antwerp,1567
1,5,Belgium,Antwerp,1568
25,1.6,Belgium,Antwerp,1568
30,90.2,Belgium,Antwerp,1568
43,1.1,Belgium,Antwerp,1568
48,2,Belgium,Antwerp,1568
70,2.2,Belgium,Antwerp,1568
79,8.3,Belgium,Antwerp,1569
1,6,Belgium,Antwerp,1570
1,7,Belgium,Antwerp,1570
1,8,Belgium,Antwerp,1570
1,9,Belgium,Antwerp,1570
1,10,Belgium,Antwerp,1570
1,11,Belgium,Antwerp,1570
1,12,Belgium,Antwerp,1570
1,13,Belgium,Antwerp,1570
1,14,Belgium,Antwerp,1570
1,15,Belgium,Antwerp,1570
1,16,Belgium,Antwerp,1570
1,17,Belgium,Antwerp,1570
1,18,Belgium,Antwerp,1570
1,19,Belgium,Antwerp,1570
1,20,Belgium,Antwerp,1570
1,21,Belgium,Antwerp,1570
1,22,Belgium,Antwerp,1570
1,23,Belgium,Antwerp,1570
1,24,Belgium,Antwerp,1570
1,25,Belgium,Antwerp,1570
1,26,Belgium,Antwerp,1570
1,27,Belgium,Antwerp,1570
1,28,Belgium,Antwerp,1570
1,29,Belgium,Antwerp,1570
1,30,Belgium,Antwerp,1570
1,31,Belgium,Antwerp,1570
1,32,Belgium,Antwerp,1570
1,33,Belgium,Antwerp,1570
1,34,Belgium,Antwerp,1570
1,35,Belgium,Antwerp,1570
1,36,Belgium,Antwerp,1570
1,37,Belgium,Antwerp,1570
1,38,Belgium,Antwerp,1570
1,39,Belgium,Antwerp,1570
1,40,Belgium,Antwerp,1570
1,41,Belgium,Antwerp,1570
1,42,Belgium,Antwerp,1570
1,43,Belgium,Antwerp,1570
1,44,Belgium,Antwerp,1570
1,45,Belgium,Antwerp,1570
1,46,Belgium,Antwerp,1570
1,47,Belgium,Antwerp,1570
1,48,Belgium,Antwerp,1570
1,49,Belgium,Antwerp,1570
1,50,Belgium,Antwerp,1570
1,51,Belgium,Antwerp,1570
1,52,Belgium,Antwerp,1570
1,53,Belgium,Antwerp,1570
1,54,Belgium,Antwerp,1570
1,55,Belgium,Antwerp,1570
1,56,Belgium,Antwerp,1570
1,57,Belgium,Antwerp,1570
1,58,Belgium,Antwerp,1570
1,59,Belgium,Antwerp,1570
1,60,Belgium,Antwerp,1570
1,61,Belgium,Antwerp,1570
1,62,Belgium,Antwerp,1570
1,63,Belgium,Antwerp,1570
1,64,Belgium,Antwerp,1570
1,65,Belgium,Antwerp,1570
1,66,Belgium,Antwerp,1570
1,67,Belgium,Antwerp,1570
1,68,Belgium,Antwerp,1570
1,69,Belgium,Antwerp,1570
1,70,Belgium,Antwerp,1570
1,71,Belgium,Antwerp,1570
1,72,Belgium,Antwerp,1570
1,73,Belgium,Antwerp,1570
1,74,Belgium,Antwerp,1570
1,75,Belgium,Antwerp,1570
1,A,Belgium,Antwerp,1570
3,2.2,Belgium,Antwerp,1570
6,8.5,Belgium,Antwerp,1570
9,5.1,Belgium,Antwerp,1570
10,1.9,Belgium,Antwerp,1570
11,1.1,Belgium,Antwerp,1570
12,20.2,Belgium,Antwerp,1570
19,1.1,Belgium,Antwerp,1570
26,2.2,Belgium,Antwerp,1570
30,2.6,Belgium,Antwerp,1570
30,76.3,Belgium,Antwerp,1570
30,88.4,Belgium,Antwerp,1570
30,90.4,Belgium,Antwerp,1570
33,1.2,Belgium,Antwerp,1570
35,1.3,Belgium,Antwerp,1570
38,1.9,Belgium,Antwerp,1570
40,9.2,Belgium,Antwerp,1570
43,1.2,Belgium,Antwerp,1570
44,5.4,Belgium,Antwerp,1570
49,7.5,Belgium,Antwerp,1570
51,5.1,Belgium,Antwerp,1570
54,11,Belgium,Antwerp,1570
56,6.11,Belgium,Antwerp,1570
56,17.9,Belgium,Antwerp,1570
63,1.1,Belgium,Antwerp,1570
67,1.2,Belgium,Antwerp,1570
68,1.2,Belgium,Antwerp,1570
60,11,Belgium,Antwerp,1570
79,55,Belgium,Antwerp,1570
81,1.3,Belgium,Antwerp,1570
88,8.1,Belgium,Antwerp,1570
1,1.1,Belgium,Antwerp,1571
1,77,Belgium,Antwerp,1571
1,A.1,Belgium,Antwerp,1571
26,2.3,Belgium,Antwerp,1571
1,A.2,Belgium,Antwerp,1572
1,A.3,Belgium,Antwerp,1572
56,38,Belgium,Antwerp,1572
79,9.2,Belgium,Antwerp,1572
1,78,Belgium,Antwerp,1573
1,79,Belgium,Antwerp,1573
1,80,Belgium,Antwerp,1573
1,81,Belgium,Antwerp,1573
1,82,Belgium,Antwerp,1573
1,83,Belgium,Antwerp,1573
1,84,Belgium,Antwerp,1573
1,85,Belgium,Antwerp,1573
1,86,Belgium,Antwerp,1573
1,87,Belgium,Antwerp,1573
1,88,Belgium,Antwerp,1573
1,89,Belgium,Antwerp,1573
1,90,Belgium,Antwerp,1573
1,91,Belgium,Antwerp,1573
1,92,Belgium,Antwerp,1573
1,93,Belgium,Antwerp,1573
1,94,Belgium,Antwerp,1573
1,95,Belgium,Antwerp,1573
1,96,Belgium,Antwerp,1573
1,97,Belgium,Antwerp,1573
1,98,Belgium,Antwerp,1573
1,99,Belgium,Antwerp,1573
1,100,Belgium,Antwerp,1573
1,101,Belgium,Antwerp,1573
1,102,Belgium,Antwerp,1573
1,103,Belgium,Antwerp,1573
1,104,Belgium,Antwerp,1573
1,105,Belgium,Antwerp,1573
1,B,Belgium,Antwerp,1573
1,C[],Belgium,Antwerp,1573
7,E,Belgium,Antwerp,1573
8,2.8,Belgium,Antwerp,1573
29,A,Belgium,Antwerp,1573
30,105.1,Belgium,Antwerp,1573
30,107.1,Belgium,Antwerp,1573
34,1.3,Belgium,Antwerp,1573
49,21.2,Belgium,Antwerp,1573
49,22.1,Belgium,Antwerp,1573
49,25.1,Belgium,Antwerp,1573
50,1.1,Belgium,Antwerp,1573
50,3.1,Belgium,Antwerp,1573
55,1.1,Belgium,Antwerp,1573
1,B,Belgium,Antwerp,1574
7,E,Belgium,Antwerp,1574
29,A,Belgium,Antwerp,1574
56,17.1,Belgium,Antwerp,1574
65,L,Belgium,Antwerp,1574
7,E,Belgium,Antwerp,1575
29,A,Belgium,Antwerp,1575
26,B,Belgium,Antwerp,1576
59,E.1,Belgium,Antwerp,1576
1,E[],Belgium,Antwerp,1577
19,1.2,Belgium,Antwerp,1577
38,1.11,Belgium,Antwerp,1577
43,1.5,Belgium,Antwerp,1577
54,1.2,Belgium,Antwerp,1577
64,1.6,Belgium,Antwerp,1577
78,1.13,Belgium,Antwerp,1577
1,F[],Belgium,Antwerp,1578
1,1.2,Belgium,Antwerp,1578
8,2.9,Belgium,Antwerp,1578
10,1.10,Belgium,Antwerp,1578
11,1.2,Belgium,Antwerp,1578
19,1.3,Belgium,Antwerp,1578
25,4.10,Belgium,Antwerp,1578
30,2.7,Belgium,Antwerp,1578
30,85.3,Belgium,Antwerp,1578
30,90.6,Belgium,Antwerp,1578
30,91.2,Belgium,Antwerp,1578
30,92.2,Belgium,Antwerp,1578
30,98.7,Belgium,Antwerp,1578
30,107.2,Belgium,Antwerp,1578
38,1.13,Belgium,Antwerp,1578
40,9.4,Belgium,Antwerp,1578
43,1.3,Belgium,Antwerp,1578
43,1.4,Belgium,Antwerp,1578
45,3.1,Belgium,Antwerp,1578
49,76,Belgium,Antwerp,1578
51,5.2,Belgium,Antwerp,1578
51,9.1,Belgium,Antwerp,1578
51,10.1,Belgium,Antwerp,1578
54,1.3,Belgium,Antwerp,1578
55,1.2,Belgium,Antwerp,1578
56,6.12,Belgium,Antwerp,1578
58,52.3,Belgium,Antwerp,1578
63,1.2,Belgium,Antwerp,1578
64,1.7,Belgium,Antwerp,1578
67,1.3,Belgium,Antwerp,1578
68,1.3,Belgium,Antwerp,1578
70,17,Belgium,Antwerp,1578
70,18,Belgium,Antwerp,1578
72,1:2,Belgium,Antwerp,1578
78,1.12,Belgium,Antwerp,1578
84,2.4,Belgium,Antwerp,1578
84,5.8,Belgium,Antwerp,1578
88,5.1,Belgium,Antwerp,1578
1,106,Belgium,Antwerp,1579
1,107,Belgium,Antwerp,1579
1,108,Belgium,Antwerp,1579
1,109,Belgium,Antwerp,1579
1,110,Belgium,Antwerp,1579
1,111,Belgium,Antwerp,1579
1,112,Belgium,Antwerp,1579
1,113,Belgium,Antwerp,1579
1,114,Belgium,Antwerp,1579
1,115,Belgium,Antwerp,1579
1,116,Belgium,Antwerp,1579
1,117,Belgium,Antwerp,1579
1,118,Belgium,Antwerp,1579
1,119,Belgium,Antwerp,1579
1,120,Belgium,Antwerp,1579
1,121,Belgium,Antwerp,1579
1,122,Belgium,Antwerp,1579
1,123,Belgium,Antwerp,1579
1,124,Belgium,Antwerp,1579
1,125,Belgium,Antwerp,1579
1,126,Belgium,Antwerp,1579
1,127,Belgium,Antwerp,1579
1,128,Belgium,Antwerp,1579
1,129,Belgium,Antwerp,1579
1,130,Belgium,Antwerp,1579
1,131,Belgium,Antwerp,1579
1,J[],Belgium,Antwerp,1579
45,3.2,Belgium,Antwerp,1579
48,2.1,Belgium,Antwerp,1579
47,2.2,Belgium,Antwerp,1580
47,3.2,Belgium,Antwerp,1580
77,40.1,Belgium,Antwerp,1580
6,11.6,Belgium,Antwerp,1581
7,E,Belgium,Antwerp,1581
29,A,Belgium,Antwerp,1581
29,E,Belgium,Antwerp,1581
29,F,Belgium,Antwerp,1581
56,6.13,Belgium,Antwerp,1581
26,C,Belgium,Antwerp,1582
29,E,Belgium,Antwerp,1582
26,D,Belgium,Antwerp,1583
1,132,Belgium,Antwerp,1584
1,133,Belgium,Antwerp,1584
1,134,Belgium,Antwerp,1584
1,135,Belgium,Antwerp,1584
1,136,Belgium,Antwerp,1584
1,137,Belgium,Antwerp,1584
1,138,Belgium,Antwerp,1584
1,139,Belgium,Antwerp,1584
1,140,Belgium,Antwerp,1584
1,141,Belgium,Antwerp,1584
1,142,Belgium,Antwerp,1584
1,143,Belgium,Antwerp,1584
1,144,Belgium,Antwerp,1584
1,145,Belgium,Antwerp,1584
1,146,Belgium,Antwerp,1584
1,147,Belgium,Antwerp,1584
1,148,Belgium,Antwerp,1584
1,149,Belgium,Antwerp,1584
1,150,Belgium,Antwerp,1584
1,151,Belgium,Antwerp,1584
1,152,Belgium,Antwerp,1584
1,153,Belgium,Antwerp,1584
1,154,Belgium,Antwerp,1584
1,155,Belgium,Antwerp,1584
1,156,Belgium,Antwerp,1584
1,157,Belgium,Antwerp,1584
1,158,Belgium,Antwerp,1584
1,159,Belgium,Antwerp,1584
1,160,Belgium,Antwerp,1584
1,161,Belgium,Antwerp,1584
1,162,Belgium,Antwerp,1584
1,163,Belgium,Antwerp,1584
1,K[],Belgium,Antwerp,1584
1,L[],Belgium,Antwerp,1584
7,E,Belgium,Antwerp,1584
12,20.3,Belgium,Antwerp,1584
29,A,Belgium,Antwerp,1584
29,F,Belgium,Antwerp,1584
30,86.4,Belgium,Antwerp,1584
47,1.2,Belgium,Antwerp,1584
70,11.2,Belgium,Antwerp,1585
70,12.2,Belgium,Antwerp,1585
1,6a,Belgium,Antwerp,1587
1,7a,Belgium,Antwerp,1587
1,1173:1590,Belgium,Antwerp,1587
1,164,Belgium,Antwerp,1587
1,165,Belgium,Antwerp,1587
1,166,Belgium,Antwerp,1587
1,167,Belgium,Antwerp,1587
1,168,Belgium,Antwerp,1587
1,169,Belgium,Antwerp,1587
1,170,Belgium,Antwerp,1587
1,171,Belgium,Antwerp,1587
1,172,Belgium,Antwerp,1587
1,173,Belgium,Antwerp,1587
1,174,Belgium,Antwerp,1587
1,175,Belgium,Antwerp,1587
1,176,Belgium,Antwerp,1587
1,177,Belgium,Antwerp,1587
1,178,Belgium,Antwerp,1587
1,179,Belgium,Antwerp,1587
1,180,Belgium,Antwerp,1587
1,181,Belgium,Antwerp,1587
1,182,Belgium,Antwerp,1587
1,183,Belgium,Antwerp,1587
1,184,Belgium,Antwerp,1587
1,185,Belgium,Antwerp,1587
1,N[1590],Belgium,Antwerp,1587
30,3.1,Belgium,Antwerp,1587
56,6.14,Belgium,Antwerp,1587
1,6b[],Belgium,Antwerp,1592
29,A,Belgium,Antwerp,1592
30,2.7,Belgium,Antwerp,1593
30,85.3,Belgium,Antwerp,1593
30,90.6,Belgium,Antwerp,1593
30,91.2,Belgium,Antwerp,1593
30,92.2,Belgium,Antwerp,1593
30,98.9,Belgium,Antwerp,1593
30,107.2,Belgium,Antwerp,1593
38,1.13,Belgium,Antwerp,1593
40,2.1,Belgium,Antwerp,1593
40,9.4,Belgium,Antwerp,1593
43,1.3,Belgium,Antwerp,1593
45,3.1,Belgium,Antwerp,1593
49,7.6,Belgium,Antwerp,1593
51,5.2,Belgium,Antwerp,1593
51,9.1,Belgium,Antwerp,1593
51,10.1,Belgium,Antwerp,1593
54,1.3,Belgium,Antwerp,1593
55,1.2,Belgium,Antwerp,1593
56,6.12,Belgium,Antwerp,1593
64,1.8,Belgium,Antwerp,1593
1,121a[],Belgium,Antwerp,1595
1,150a[],Belgium,Antwerp,1595
1,188,Belgium,Antwerp,1595
1,189,Belgium,Antwerp,1595
1,190,Belgium,Antwerp,1595
1,191,Belgium,Antwerp,1595
1,192,Belgium,Antwerp,1595
1,193,Belgium,Antwerp,1595
1,194,Belgium,Antwerp,1595
1,195,Belgium,Antwerp,1595
1,196,Belgium,Antwerp,1595
1,197,Belgium,Antwerp,1595
1,198,Belgium,Antwerp,1595
1,199,Belgium,Antwerp,1595
1,200,Belgium,Antwerp,1595
1,201,Belgium,Antwerp,1595
1,202,Belgium,Antwerp,1595
1,203,Belgium,Antwerp,1595
1,204,Belgium,Antwerp,1595
1,205,Belgium,Antwerp,1595
1,206,Belgium,Antwerp,1595
1,207,Belgium,Antwerp,1595
1,208,Belgium,Antwerp,1595
1,209,Belgium,Antwerp,1595
30,105.1,Belgium,Antwerp,1595
35,1.7,Belgium,Antwerp,1595
38,1.10,Belgium,Antwerp,1595
45,3,Belgium,Antwerp,1595
45,4,Belgium,Antwerp,1595
45,6.1,Belgium,Antwerp,1595
68,1.5,Belgium,Antwerp,1595
1,210,Belgium,Antwerp,1595 ог 96
30,98.6,Belgium,Antwerp,1596
1,117a[],Belgium,Antwerp,1598
1,18a[],Belgium,Antwerp,1598
1,211,Belgium,Antwerp,1598
1,212,Belgium,Antwerp,1598
1,213,Belgium,Antwerp,1598
1,214,Belgium,Antwerp,1598
1,215,Belgium,Antwerp,1598
1,216,Belgium,Antwerp,1598
1,217,Belgium,Antwerp,1598
1,218,Belgium,Antwerp,1598
38,1.12,Belgium,Antwerp,1598
1,E.2[1577],Belgium,Antwerp,1601
26,H,Belgium,Antwerp,1601
43,1.7,Belgium,Antwerp,1601
48,2.4,Belgium,Antwerp,1602
1,М.1[1586?],Belgium,Antwerp,1603
26,J,Belgium,Antwerp,1605
26,K,Belgium,Antwerp,1611
1,H.2[1579],Belgium,Antwerp,1624
1,219,Belgium,Antwerp,1624
70,10.1,Belgium,Antwerp,1676
62,1,Belgium,Brussels,1547
29,3,Belgium,Louvain,1537
29,4,Belgium,Louvain,1537
56,3,Belgium,Louvain,1537
56,4,Belgium,Louvain,1538
29,7,Belgium,Louvain,1540
56,6,Belgium,Louvain,1540
56,A,Belgium,Louvain,1540
56,7,Belgium,Louvain,1541
29,С,Belgium,Louvain,1548
29,H,Belgium,Louvain,1548
56,10,Belgium,Louvain,1551
87,12.1,Czechoslovakia,Prague,1563
22,2.1,Czechoslovakia,Prague,1568
88,5.2,Czechoslovakia,Prague,1587
41,5.3,Czechoslovakia,Prague,1595
41,6.3,Czechoslovakia,Prague,1595
41,7.3,Czechoslovakia,Prague,1595
41,8.3,Czechoslovakia,Prague,1595
41,9.3,Czechoslovakia,Prague,1595
41,10.3,Czechoslovakia,Prague,1595
41,11.3,Czechoslovakia,Prague,1595
41,12.3,Czechoslovakia,Prague,1595
41,13.3,Czechoslovakia,Prague,1595
41,14.3,Czechoslovakia,Prague,1595
41,15.3,Czechoslovakia,Prague,1595
41,16.3,Czechoslovakia,Prague,1595
41,17.3,Czechoslovakia,Prague,1595
41,18.3,Czechoslovakia,Prague,1595
41,19.3,Czechoslovakia,Prague,1595
41,20.3,Czechoslovakia,Prague,1595
41,G,Czechoslovakia,Prague,1595
87,13.2,Czechoslovakia,Prague,1678
45,2.1,Denmark,Copenhagen,1552
31,A,England,London,1545
31,2,England,London,1546
33,D.1,England,London,1546
31,B,England,London,1548
17,6.2,England,London,1549
50,A,England,London,са. 1550
31,A.1,England,London,1553
31,1.1,England,London,1555
31,2,England,London,1555
31,C,England,London,1555
33,C.1,England,London,1555
86,E.2,England,London,1555
31,D,England,London,1556
31,A.2,England,London,1559
43,1,England,London,1562
77,B.1,England,London,1568
72,5.3,England,London,1572
50,D.2,England,London,1573
50,E.2,England,London,1573
50,B.1,England,London,1584
33,N.1,England,London,1585
43,A,England,London,1589
43,B,England,London,1589
43,C,England,London,1589
43,D,England,London,1589
43,E,England,London,1589
43,A,England,London,1599
43,B,England,London,1599
43,C,England,London,1599
43,D,England,London,1599
43,E,England,London,1599
56,17.7,England,London,1599
56,17.8,England,London,1599
1,S[],England,London,1606
74,1.2,England,London,1617
53,B.1,England,London,1658
33,C.1,England,London,1851-52
43,A,England,London,1886
43,B,England,London,1886
43,C,England,London,1886
43,D,England,London,1886
43,E,England,London,1886
29,E,England,Oxford,1661
59,B,France,La Rochelle,1618
80,A.2,France,Lyons,1517?
28,G.2,France,Lyons,1535
28,G.3,France,Lyons,1541
59,1,France,Lyons,1544
59,A,France,Lyons,1550
59,4,France,Lyons,1554
59,В,France,Lyons,1554
77,A,France,Lyons,1554
76,B,France,Lyons,1555
76,C,France,Lyons,1555
29,E,France,Lyons,1556
76,D,France,Lyons,1556
76,E,France,Lyons,1556
77,A,France,Lyons,1556
59,5,France,Lyons,1558
76,F,France,Lyons,1558
76,С,France,Lyons,1559
33,N,France,Lyons,1560
76,1,France,Lyons,1560
76,H,France,Lyons,1560
76,J,France,Lyons,1560
59,B,France,Lyons,1561
76,11,France,Lyons,1561
76,Н,France,Lyons,1561
76,J.1,France,Lyons,1561
29,8,France,Lyons,1564
19,A,France,Lyons,1566
19,1,France,Lyons,1566
59,E,France,Lyons,1568
59,B,France,Lyons,1569
59,B,France,Lyons,1576
27,A,France,Paris,1515
27,B,France,Paris,1516
27,C,France,Paris,1517
27,1,France,Paris,1517
27,D,France,Paris,1519
34,B,France,Paris,1520
34,C,France,Paris,1520
27,E,France,Paris,1521
27,F,France,Paris,1522
27,B.1,France,Paris,1524
27,3,France,Paris,1525
27,G,France,Paris,1526
27,Н,France,Paris,1527
27,J,France,Paris,1528
27,K,France,Paris,1529
27,121531,France,Paris,1530
27,4,France,Paris,1530
27,4.1:1532,France,Paris,1530
27,M,France,Paris,1530
27,N,France,Paris,1530
58,J,France,Paris,1530
15,5:1535,France,Paris,1533
27,4.2,France,Paris,1533
27,01536,France,Paris,1533
27,К,France,Paris,1533
27,2.1,France,Paris,1533
61,1,France,Paris,1537
27,3.2,France,Paris,1538
14,A.2,France,Paris,1540
27,4.4,France,Paris,1540
57,3,France,Paris,154057
27,4.5,France,Paris,1541
27,5,France,Paris,1542
27,U,France,Paris,1542
27,8,France,Paris,1543
27,V,France,Paris,1543
29,E,France,Paris,1543
15,D,France,Paris,1544
27,Y,France,Paris,1544
27,2,France,Paris,1545
29,E,France,Paris,1545
44,2,France,Paris,1545
27,3.4,France,Paris,1546
29,B,France,Paris,1547-82
53,1.2,France,Paris,1548
29,E,France,Paris,1549
7,K,France,Paris,1550
27,АА,France,Paris,1550
27,BB,France,Paris,1550
29,E,France,Paris,1550
7,E,France,Paris,1551
7,K,France,Paris,1551
12,1,France,Paris,1551
12,A,France,Paris,1551
27,11,France,Paris,1551
27,CC,France,Paris,1551
27,EE,France,Paris,1551
27,FF,France,Paris,1551
27,GG,France,Paris,1551
29,A,France,Paris,1551
29,E,France,Paris,1551
7,E,France,Paris,1553
27,3.6,France,Paris,1553
27,НН,France,Paris,1553
27,JJ,France,Paris,1553
29,A,France,Paris,1553
29,E,France,Paris,1553
41,3.1,France,Paris,1553
12,2,France,Paris,1555
12,3,France,Paris,1555
12,4,France,Paris,1555
12,5,France,Paris,1555
12,6,France,Paris,1555
12,7,France,Paris,1555
12,8,France,Paris,1555
12,9,France,Paris,1555
12,10,France,Paris,1555
12,11,France,Paris,1555
12,12,France,Paris,1555
12,13,France,Paris,1555
12,14,France,Paris,1555
12,15,France,Paris,1555
12,16,France,Paris,1555
12,17,France,Paris,1555
12,18,France,Paris,1555
12,19,France,Paris,1555
12,B,France,Paris,1555
27,4.6,France,Paris,1555
27,КК,France,Paris,1556
27,LL,France,Paris,1556
29,E,France,Paris,1556
27,MM,France,Paris,1557
29,E,France,Paris,1557
29,F,France,Paris,1557
41,F,France,Paris,1557
77,B,France,Paris,1557
29,F,France,Paris,1558
29,E,France,Paris,1559
41,3.2,France,Paris,1559
59,6,France,Paris,1559
44,4,France,Paris,са. 1559-60
27,ММ,France,Paris,1560
29,5,France,Paris,1560
44,5,France,Paris,1560
29,E,France,Paris,1561
77,1,France,Paris,1562
77,2,France,Paris,1562
29,E,France,Paris,1563
77,3,France,Paris,1563
44,5.2,France,Paris,1565
77,4,France,Paris,1565
29,E,France,Paris,1569
25,11.4,France,Paris,1570
44,5.3,France,Paris,1570
5,A.ı,France,Paris,1572
29,Е,France,Paris,1572
44,5.5,France,Paris,1575
76,1.3,France,Paris,1575
77,C,France,Paris,1575
77,5,France,Paris,1575
77,6,France,Paris,1575
77,7,France,Paris,1575
